Chars
 ɕ
wˈ
ɜː
eʒ
oe
ʒɛ
ːe
ɥa
uv
næ
ɛf
nv
ːi
tø
aɰ
çɛ
ɹæ
tœ
ʁu
sː
zʏ
gj
nʊ
ˌe
vu
ɛ:
ʊp
̯ˌ
ˌɑ
:m
ɽə
ɴɾ
kn
kɐ
uz
ɐm
ɴp
ɾɾ
ˈʝ
oɲ
iʃ
çɐ
gɔ
‍ə
sb
jæ
ʁo
ⁿɗ
pʊ
ʏn
ɛg
ɕː
ej
ɯz
ɡə
ɡɹ
ɴb
ui
ɣn
rt
dæ
iə
ˌʔ
fʊ
bɹ
ɪɾ
ʰɐ
ɝz
t˥
ɵy
aa
ɔf
yn
ɛp
tr
bˈ
sĭ
sθ
sn
ɛd
ʃɑ
ɾx
ːr
βs
aʝ
my
lw
k˥
vj
̯g
ym
mw
ːv
əɹ
d‍
‍ʒ
ʁk
væ
ɑp
ʂʰ
xt
ɯe
uɲ
fy
nɐ
ɯh
ɾd
ɲi
̃ʒ
ʁb
ɕʰ
ua
:t
̯f
æm
æs
lɐ
ɾg
nb
pæ
ˈw
rk
̯b
ɛɫ
 ʈ
ɲo
pː
tɝ
oh
læ
ji
ʔy
ʏt
ɑɾ
aʊ
u:
mt
ɪb
ãũ
øː
ɛɹ
kɹ
gw
ʑɯ
hu
jɐ
œ:
ln
ɛˈ
ææ
ah
ʝa
ˈɲ
̃f
æˌ
ɐt
ff
ɪ˥
sβ
ɾʏ
əv
ˈə
sw
̃g
uθ
‍l
ʔɪ
ĭo
kˌ
lʏ
ʁʒ
eç
ɯː
̯m
ˌr
:u
ɾθ
ʊʁ
ʃl
sæ
fˈ
sg
eʃ
ɾb
lˌ
ˈʌ
ʏs
pɹ
øz
ˌɪ
fˌ
uʎ
ɪɫ
kʏ
ɔː
æt
pʰ
ɣw
:k
mˌ
gɑ
 f
ᵑg
hɪ
oɕ
ɫɪ
ɑˈ
k˨
ˈɔ
hɔ
ˌd
ʰa
hi
gɐ
uɣ
ˌb
gu
əp
ɯ 
uʁ
ˌz
vo
rj
nf
ʰi
ːz
ɪj
ˈu
oa
uf
ʑo
 h
ɥi
ʊ˥
θo
æk
ɲe
xj
ɴɕ
bɔ
ɑu
əz
ɕj
dɔ
ʊɾ
ˈo
pf
aɽ
ʃɛ
ɾə
ːf
ɫi
ɒː
kʰ
ɾf
yt
çə
pɯ
ɣu
ʃɪ
ʒe
oθ
ˌf
lf
ɫə
ɑŋ
ˌɾ
zβ
əb
ʃp
eu
ʊl
ɔɹ
:˥
bj
ˈɡ
ɐi
tl
əd
zo
ʏk
ˈɒ
eʎ
dʊ
ŋə
ɔp
ɾˈ
mˈ
ʎo
:˨
kæ
ər
hɑ
ʃu
əi
bɑ
ɑɹ
sʊ
dʁ
ːa
y:
bʊ
ʝe
̯k
ˈɹ
ɔk
ːp
pp
ʒə
vɔ
br
ɑʊ
ly
ux
zj
ɐn
ɑm
ɯn
ʁn
̃k
ɪp
və
kɪ
ɛç
ng
ob
ɯɴ
ky
ɛm
og
ɕa
:i
lʊ
ək
lp
ˈʎ
ɯb
sl
zɔ
ju
nl
ŋs
ʏl
hɛ
ɴs
ɐˈ
ih
uo
ɐu
ɾɑ
tˌ
ɣe
tː
ˌh
̯p
pˈ
ir
eˌ
ɑr
əˌ
pˌ
zɑ
̯d
tɹ
ʊs
ɔs
aʃ
˩˧
ʁm
ɑk
ɾʊ
ʊt
tʊ
ɪʁ
ːo
kʊ
uˌ
ˌn
ɛŋ
ɯi
ʒi
zɣ
rɑ
ɾp
˦ 
:˧
ːɯ
ɾɔ
ys
oŋ
zɯ
ˈj
yː
sm
œʁ
fɑ
dɑ
ɹi
 m
 l
ːm
̃b
du
tæ
sv
ʊm
ɴg
aʎ
sɐ
aɕ
ˈɫ
wi
ðu
u˥
mæ
nr
oʎ
ʃo
lg
xo
ʒa
çi
fə
uu
ɪˈ
ɪv
u˨
i˥
ps
ʊk
i˨
ɔø
ˈg
iɲ
fʁ
ɴd
sˈ
ɕɯ
ʁs
ɲt
tw
̯l
yl
ʏʁ
nɔ
‍ʊ
xu
lˈ
ie
mɔ
od
kˈ
eɲ
ʁd
pɪ
ˈɣ
βu
u˧
ɔm
ʈʂ
ev
ou
ɹə
:ŋ
ŋx
ɔt
ɯg
iɕ
kk
sɔ
ix
 j
ˈð
i˧
ðɾ
ɴt
oɣ
lβ
 p
ˈɑ
ss
dʒ
nk
çt
tʰ
ˌp
ˈi
iʁ
kõ
ɹɪ
ᵝa
ɰᵝ
av
kː
gɯ
ˌʃ
a‍
ty
əɫ
yʁ
ˌm
fɪ
ˌv
ŋ˧
̃p
ˈr
ʁt
mɯ
oˌ
pɔ
bɪ
ve
dj
ˈɪ
̯s
ðj
æ̃
ɑs
dɐ
ːs
̯ə
aʒ
iv
fɔ
dɾ
ɔɾ
ɾɣ
e‍
ˈx
ɾɪ
bʁ
oð
sz
io
jɯ
ɴk
uβ
tˈ
gl
sʏ
nz
ːk
ːˌ
ˌs
ox
ɹˈ
ɯm
ɑɑ
ɣo
n˧
ːg
ŋ˨
nu
pɛ
ɯd
ib
ur
ft
nn
ʃe
sʰ
eo
sy
βj
ɸɯ
ii
ə‍
pə
uð
he
kɛ
bu
tt
əl
eb
ɑi
pj
ˈɛ
up
ɪf
gʁ
sf
ˈæ
ɪm
ld
lm
iŋ
mj
jə
bɯ
ʎe
gɛ
ɯɕ
ʁõ
n˨
kj
ːl
nj
 s
æn
lɔ
oɴ
ij
͡z
ls
ru
tɔ
pt
̃d
tj
ɑl
kʁ
dɪ
ɔ:
lk
ho
ɑt
βl
nɛ
fj
lj
eg
ːb
 k
̯ʁ
ɔʁ
gɾ
ɪd
gi
xi
vɪ
zi
nθ
nɑ
˨ 
au
ˈβ
̯n
sˌ
ɔl
ig
:n
ɾβ
ɾu
ed
ʃi
eθ
oi
bɾ
ˌl
jɛ
fu
oo
ʔʊ
ˈe
ex
ɪl
ːn
aj
ɯs
uk
ze
ɪʃ
ɕo
d͡
zm
ɑˌ
ɣɾ
ʃt
ʔɛ
ɛt
aɲ
zɛ
bɛ
tɐ
˩˦
ag
ɑn
ʑi
̯t
ɛ̃
ẽĩ
ĩ̯
n˥
ŋ˥
ˈz
˧ 
az
ɯɯ
mɛ
iɣ
ee
vɑ
aɪ
kw
mf
θi
of
ˈθ
go
we
ʁɪ
ad
mm
aθ
̯ˈ
ɪç
bl
or
ˌk
i:
‍ɪ
pɑ
pʁ
eɣ
mɪ
ʃə
eɪ
eʁ
dɛ
̃s
ɾð
sɑ
zɪ
ef
ːd
lɛ
aŋ
ɾk
nɪ
ɲa
ɪg
sɛ
ip
vi
ge
jõ
ʊn
ɑː
fɾ
ɔn
iˌ
ab
ɛʁ
jɑ
˥˥
vɛ
er
id
ll
ʁi
aː
a:
ði
kə
ɛk
fe
ʁɑ
op
zə
ɾɛ
aɣ
lə
ˈa
fo
iʎ
βɾ
fl
kɾ
eð
va
um
mə
sə
ət
ri
tɪ
mu
ɯt
ɾj
oʊ
θj
lu
iɴ
eː
βo
ŋg
ro
oβ
ˌt
͡s
iβ
˩ 
uː
ɪz
ˈh
ːt
ʁj
xe
bo
ið
ɛl
ax
dʑ
zl
ˈb
eβ
bi
kl
ɯk
̃t
oː
lɑ
θe
jɔ
ʊŋ
ˈd
ha
eɴ
t͡
uɾ
bə
ɯɾ
ðe
iθ
un
af
nˌ
ɛs
aɴ
ːɾ
mɑ
ut
ɛː
ɾɯ
ɾs
be
ɾm
ɪk
ˈʃ
βi
ʁɛ
ˈf
βe
ɪŋ
kɔ
oz
˥˩
pu
fɛ
ɪt
ˈv
ar
uˈ
ep
nə
tɕ
ɾl
tʁ
 t
ʁɔ
if
ːɐ
ˈp
kɑ
ɾn
za
nˈ
ɪs
tɑ
ao
ʁə
lt
ʎa
iz
xa
sɪ
pl
lɪ
fa
ul
˨˩
əm
ˈn
us
ˈm
iɾ
tu
θa
ra
ez
kt
əs
˧˥
ʃa
ʁe
da
ʔa
gə
eŋ
ˈl
ae
ɪn
ɣa
fi
kɯ
di
tɛ
pi
ɛɾ
ɕi
oˈ
əˈ
pɾ
də
ok
mb
po
su
ɔ̃
õũ
ga
ku
il
ŋk
˥ 
sɯ
wa
ˈʔ
ũ̯
mp
ke
aʁ
ks
im
ns
ðo
tʃ
ˈs
ot
sp
oɯ
no
ˈk
om
mi
so
ba
ɾt
ni
ɔ̯
ɑɔ
ki
jo
ða
iː
ɐ̯
pe
ap
sj
ol
iˈ
ʁa
eˈ
ˈt
it
sk
ɑ̃
et
ɛn
ek
tə
si
lo
ne
ja
to
ea
tɾ
el
me
ɾo
le
ik
əʁ
pa
re
ak
oɾ
je
ən
ia
ai
li
do
ti
in
ts
að
βa
ei
at
ma
aβ
eɾ
on
al
nt
ko
em
am
sa
na
ɾi
mo
nd
aˈ
te
la
ˈɾ
de
se
ka
ta
st
ɾe
en
is
os
an
es
ɾa
aɾ
as
